X Y Z U V W
-2.574363 -4.410854 -8.590000 -0.211221 -0.500142 -0.839788
-1.379125 -4.915629 -8.590000 -0.211221 -0.500142 -0.839788
-1.275359 -4.940355 -8.590000 -0.132793 -0.557284 -0.819634
-0.767181 -5.015875 -8.590000 -0.050171 -0.465071 -0.883850
0.000000 -5.098638 -8.590000 -0.050171 -0.465071 -0.883850
-0.141409 -5.414109 -8.390000 -0.081178 -0.546250 -0.833679
0.141409 -5.414109 -8.390000 0.081178 -0.546250 -0.833679
1.151752 -5.263962 -8.390000 0.132793 -0.557284 -0.819634
1.605529 -5.155833 -8.390000 0.211221 -0.500142 -0.839788
2.440488 -4.803212 -8.390000 0.211221 -0.500142 -0.839788
2.856651 -4.584583 -8.390000 0.337457 -0.445068 -0.829480
3.805706 -3.864995 -8.390000 0.337457 -0.445068 -0.829480
3.884589 -3.795488 -8.390000 0.457622 -0.382479 -0.802678
3.999953 -3.657459 -8.390000 0.457622 -0.382479 -0.802678
4.583795 -2.832941 -8.390000 0.469405 -0.233171 -0.851640
5.185305 -1.622023 -8.390000 0.469405 -0.233171 -0.851640
5.205237 -1.575998 -8.390000 0.589579 -0.160129 -0.791679
5.212418 -1.549557 -8.390000 0.551642 -0.078417 -0.830386
5.413614 -0.134197 -8.390000 0.551642 -0.078417 -0.830386
5.413614 0.134197 -8.390000 0.597636 0.000000 -0.801768
5.212418 1.549557 -8.390000 0.551642 0.078417 -0.830386
5.205237 1.575998 -8.390000 0.589579 0.160129 -0.791679
5.185305 1.622023 -8.390000 0.469405 0.233171 -0.851640
4.583795 2.832941 -8.390000 0.427026 0.302377 -0.852184
3.999953 3.657459 -8.390000 0.457622 0.382479 -0.802678
3.884589 3.795488 -8.390000 0.395175 0.448483 -0.801686
3.805706 3.864995 -8.390000 0.337457 0.445068 -0.829480
2.856651 4.584583 -8.390000 0.267099 0.508425 -0.818634
2.440488 4.803212 -8.390000 0.211221 0.500142 -0.839788
1.605529 5.155833 -8.390000 0.211221 0.500142 -0.839788
1.151752 5.263962 -8.390000 0.132793 0.557284 -0.819634
0.141409 5.414109 -8.390000 0.081178 0.546250 -0.833679
-0.141409 5.414109 -8.390000 -0.081178 0.546250 -0.833679
-1.151752 5.263962 -8.390000 -0.081178 0.546250 -0.833679
-1.605529 5.155833 -8.390000 -0.211221 0.500142 -0.839788
-2.440488 4.803212 -8.390000 -0.211221 0.500142 -0.839788
-2.856651 4.584583 -8.390000 -0.337457 0.445068 -0.829480
-3.805706 3.864995 -8.390000 -0.395175 0.448483 -0.801686
-3.884589 3.795488 -8.390000 -0.395175 0.448483 -0.801686
-3.999953 3.657459 -8.390000 -0.457622 0.382479 -0.802678
-4.583795 2.832941 -8.390000 -0.427026 0.302377 -0.852184
-5.185305 1.622023 -8.390000 -0.469405 0.233171 -0.851640
-5.205237 1.575998 -8.390000 -0.538762 0.233320 -0.809504
-5.212418 1.549557 -8.390000 -0.551642 0.078417 -0.830386
-5.413614 0.134197 -8.390000 -0.551642 0.078417 -0.830386
-5.413614 -0.134197 -8.390000 -0.597636 0.000000 -0.801768
-5.212418 -1.549557 -8.390000 -0.551642 -0.078417 -0.830386
-5.205237 -1.575998 -8.390000 -0.589579 -0.160129 -0.791679
-5.185305 -1.622023 -8.390000 -0.469405 -0.233171 -0.851640
-4.583795 -2.832941 -8.390000 -0.427026 -0.302377 -0.852184
-3.999953 -3.657459 -8.390000 -0.427026 -0.302377 -0.852184
-3.884589 -3.795488 -8.390000 -0.395175 -0.448483 -0.801686
-3.805706 -3.864995 -8.390000 -0.337457 -0.445068 -0.829480
-2.856651 -4.584583 -8.390000 -0.337457 -0.445068 -0.829480
-2.440488 -4.803212 -8.390000 -0.211221 -0.500142 -0.839788
-1.605529 -5.155833 -8.390000 -0.211221 -0.500142 -0.839788
-1.151752 -5.263962 -8.390000 -0.132793 -0.557284 -0.819634
-0.141409 -5.414109 -8.390000 -0.081178 -0.546250 -0.833679
-0.384154 -5.683272 -8.190000 -0.081178 -0.546250 -0.833679
0.384154 -5.683272 -8.190000 0.081178 -0.546250 -0.833679
1.028145 -5.587568 -8.190000 0.132793 -0.557284 -0.819634
1.831933 -5.396038 -8.190000 0.132793 -0.557284 -0.819634
2.306614 -5.195570 -8.190000 0.211221 -0.500142 -0.839788
3.074436 -4.792198 -8.190000 0.337457 -0.445068 -0.829480
3.681787 -4.331695 -8.190000 0.395175 -0.448483 -0.801686
4.081891 -3.979148 -8.190000 0.457622 -0.382479 -0.802678
4.667029 -3.279052 -8.190000 0.427026 -0.302377 -0.852184
4.861422 -3.004524 -8.190000 0.469405 -0.233171 -0.851640
5.061698 -2.601342 -8.190000 0.469405 -0.233171 -0.851640
5.420057 -1.773854 -8.190000 0.589579 -0.160129 -0.791679
5.549171 -1.298471 -8.190000 0.589579 -0.160129 -0.791679
5.681927 -0.364561 -8.190000 0.551642 -0.078417 -0.830386
5.681927 0.364561 -8.190000 0.551642 0.078417 -0.830386
5.549171 1.298471 -8.190000 0.589579 0.160129 -0.791679
5.420057 1.773854 -8.190000 0.538762 0.233320 -0.809504
5.061698 2.601342 -8.190000 0.538762 0.233320 -0.809504
4.861422 3.004524 -8.190000 0.469405 0.233171 -0.851640
4.667029 3.279052 -8.190000 0.457622 0.382479 -0.802678
4.081891 3.979148 -8.190000 0.395175 0.448483 -0.801686
3.681787 4.331695 -8.190000 0.337457 0.445068 -0.829480
3.074436 4.792198 -8.190000 0.267099 0.508425 -0.818634
2.306614 5.195570 -8.190000 0.211221 0.500142 -0.839788
1.831933 5.396038 -8.190000 0.211221 0.500142 -0.839788
1.028145 5.587568 -8.190000 0.132793 0.557284 -0.819634
0.384154 5.683272 -8.190000 0.000000 0.596421 -0.802672
-0.384154 5.683272 -8.190000 0.000000 0.596421 -0.802672
-1.028145 5.587568 -8.190000 -0.081178 0.546250 -0.833679
-1.831933 5.396038 -8.190000 -0.132793 0.557284 -0.819634
-2.306614 5.195570 -8.190000 -0.211221 0.500142 -0.839788
-3.074436 4.792198 -8.190000 -0.337457 0.445068 -0.829480
-3.681787 4.331695 -8.190000 -0.337457 0.445068 -0.829480
-4.081891 3.979148 -8.190000 -0.395175 0.448483 -0.801686
-4.667029 3.279052 -8.190000 -0.457622 0.382479 -0.802678
-4.861422 3.004524 -8.190000 -0.427026 0.302377 -0.852184
-5.061698 2.601342 -8.190000 -0.469405 0.233171 -0.851640
-5.420057 1.773854 -8.190000 -0.538762 0.233320 -0.809504
-5.549171 1.298471 -8.190000 -0.551642 0.078417 -0.830386
-5.681927 0.364561 -8.190000 -0.551642 0.078417 -0.830386
-5.681927 -0.364561 -8.190000 -0.551642 -0.078417 -0.830386
-5.549171 -1.298471 -8.190000 -0.589579 -0.160129 -0.791679
-5.420057 -1.773854 -8.190000 -0.538762 -0.233320 -0.809504
-5.061698 -2.601342 -8.190000 -0.469405 -0.233171 -0.851640
-4.861422 -3.004524 -8.190000 -0.427026 -0.302377 -0.852184
-4.667029 -3.279052 -8.190000 -0.427026 -0.302377 -0.852184
-4.081891 -3.979148 -8.190000 -0.395175 -0.448483 -0.801686
-3.681787 -4.331695 -8.190000 -0.395175 -0.448483 -0.801686
-3.074436 -4.792198 -8.190000 -0.337457 -0.445068 -0.829480
-2.306614 -5.195570 -8.190000 -0.211221 -0.500142 -0.839788
-1.831933 -5.396038 -8.190000 -0.211221 -0.500142 -0.839788
-1.028145 -5.587568 -8.190000 -0.132793 -0.557284 -0.819634
-0.384154 -5.683272 -8.190000 -0.081178 -0.546250 -0.833679
-0.626899 -5.952436 -7.990000 -0.081178 -0.546250 -0.833679
0.626899 -5.952436 -7.990000 0.081178 -0.546250 -0.833679
0.904538 -5.911175 -7.990000 0.132793 -0.557284 -0.819634
2.058337 -5.636242 -7.990000 0.211221 -0.500142 -0.839788
2.172739 -5.587928 -7.990000 0.211221 -0.500142 -0.839788
3.292221 -4.999813 -7.990000 0.267099 -0.508425 -0.818634
3.557867 -4.798396 -7.990000 0.337457 -0.445068 -0.829480
4.279193 -4.162808 -7.990000 0.457622 -0.382479 -0.802678
4.938092 -3.374460 -7.990000 0.457622 -0.382479 -0.802678
5.099768 -3.151830 -7.990000 0.569358 -0.313422 -0.759999
5.212464 -2.947108 -7.990000 0.538762 -0.233320 -0.809504
5.634877 -1.971711 -7.990000 0.589579 -0.160129 -0.791679
5.885923 -1.047384 -7.990000 0.589579 -0.160129 -0.791679
5.950241 -0.594926 -7.990000 0.597636 0.000000 -0.801768
5.950241 0.594926 -7.990000 0.551642 0.078417 -0.830386
5.885923 1.047384 -7.990000 0.551642 0.078417 -0.830386
5.634877 1.971711 -7.990000 0.538762 0.233320 -0.809504
5.212464 2.947108 -7.990000 0.569358 0.313422 -0.759999
5.099768 3.151830 -7.990000 0.526342 0.382234 -0.759514
4.938092 3.374460 -7.990000 0.457622 0.382479 -0.802678
4.279193 4.162808 -7.990000 0.395175 0.448483 -0.801686
3.557867 4.798396 -7.990000 0.337457 0.445068 -0.829480
3.292221 4.999813 -7.990000 0.337457 0.445068 -0.829480
2.172739 5.587928 -7.990000 0.211221 0.500142 -0.839788
2.058337 5.636242 -7.990000 0.211221 0.500142 -0.839788
0.904538 5.911175 -7.990000 0.132793 0.557284 -0.819634
0.626899 5.952436 -7.990000 0.081178 0.546250 -0.833679
-0.626899 5.952436 -7.990000 -0.081178 0.546250 -0.833679
-0.904538 5.911175 -7.990000 -0.132793 0.557284 -0.819634
-2.058337 5.636242 -7.990000 -0.211221 0.500142 -0.839788
-2.172739 5.587928 -7.990000 -0.211221 0.500142 -0.839788
-3.292221 4.999813 -7.990000 -0.267099 0.508425 -0.818634
-3.557867 4.798396 -7.990000 -0.337457 0.445068 -0.829480
-4.279193 4.162808 -7.990000 -0.395175 0.448483 -0.801686
-4.938092 3.374460 -7.990000 -0.457622 0.382479 -0.802678
-5.099768 3.151830 -7.990000 -0.526342 0.382234 -0.759514
-5.212464 2.947108 -7.990000 -0.538762 0.233320 -0.809504
-5.634877 1.971711 -7.990000 -0.589579 0.160129 -0.791679
-5.885923 1.047384 -7.990000 -0.551642 0.078417 -0.830386
-5.950241 0.594926 -7.990000 -0.597636 0.000000 -0.801768
-5.950241 -0.594926 -7.990000 -0.551642 -0.078417 -0.830386
